B-5-B,B-6-B,B-26-B,C-5-E,C-6-A,C-6-B,C-6-C,C-9-B,D-9-A,D-9-H,D-9-J,D-9-M,E-91-QV,F-4-B,G-1-A,G-1-E,G-1-H,G-1-K,G-1-M,G-1-T,G-2-Z,G-34-A,G-34-E,G-34-H,G-34-K,G-34-N,G-34-S,G-34-T,G-34-U,G-34-V,G-34-W,G-34-Y,G-34-Z,H-1-A,H-1-M,I-5-B,I-6-B,I-25-B,I-26-B,J-11-A,K-9-O,K-9-OA,K-9-Q,K-9-T,K-9-TA,K-9-Z,K-9-ZE,K-19-A,K-29-A,K-39-A,K-49-A,K-59-A,K-69-A,L-12-T,L-21-A,L-21-C,L-21-E,M-5-B,M-6-B,M-7-B,M-9-B,M-25-B,M-26-B,O-9-B,P-9-A,P-9-D,P-9-E,P-9-J,P-17-A,Q-11-A,Q-11-B,Q-11-K,R-18-B,S-1-A,S-1-E,S-1-H,S-1-K,S-1-L,S-1-M,S-2-K,S-3-A,S-3-E,S-3-H,S-3-M,S-3-T,S-4-D,S-4-E,S-4-H,S-4-K,S-4-M,S-4-P,S-4-T,S-4-W,S-4-X,S-4-Y,S-4-Z,S-5-B,S-8-P,S-15-B,T-9-L,T-9-M,T-9-O,T-9-Q,T-9-QA,T-10-A,T-19-A,TB-9A-K,U-11-A,W-22-B,W-22-BV,Y-5-A,Y-6-A,Y-26-A,self
129,24,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,2,4,5,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,15,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B-5-B
24,2261,24,33,55,522,13,6,94,14,13,2,0,0,15,14,11,13,1,5,1,43,4,7,39,32,1,18,11,4,8,1,12,3,4,3,19,36,7,11,0,0,0,10,1,12,6,4,5,4,11,5,18,14,39,45,16,7,277,19,85,4,123,15,102,2,15,2,9,39,1,4,1,101,37,15,85,16,37,3,158,80,136,27,134,22,2,18,16,27,0,9,5,0,2,1,155,0,293,4,16,5,11,0,16,11,84,2,2,0,2,57,4,B-6-B
1,24,53,1,0,3,0,0,0,2,2,0,0,0,0,1,2,1,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,18,0,2,0,0,0,0,0,0,1,0,0,0,1,7,0,0,1,0,0,1,0,2,0,0,0,2,0,0,0,3,0,0,0,1,0,5,0,0,0,0,0,0,0,6,0,1,0,0,1,1,B-26-B
0,33,1,53,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,5,0,2,1,1,0,0,12,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,C-5-E
0,55,0,0,88,40,10,0,5,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,0,3,0,0,0,23,0,0,0,0,0,6,0,0,0,3,1,0,0,0,14,1,0,2,0,1,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,8,0,24,0,1,0,0,0,1,1,1,0,0,0,0,11,0,C-6-A
1,522,3,8,40,625,10,4,13,2,2,0,0,0,11,4,2,3,0,0,1,9,0,0,6,0,0,0,0,0,0,0,5,2,0,1,6,16,3,4,0,0,0,3,1,0,0,3,2,4,6,2,12,0,16,15,1,1,173,2,28,1,27,5,32,1,3,1,3,16,0,1,0,68,15,4,18,2,4,0,22,12,32,8,35,2,0,2,2,0,0,0,0,0,0,0,31,0,120,0,1,1,4,0,4,5,28,1,1,0,0,38,2,C-6-B
0,13,0,0,10,10,23,0,3,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,8,0,0,0,0,0,4,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,C-6-C
0,6,0,0,0,4,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,C-9-B
1,94,0,0,5,13,3,0,279,0,0,0,0,0,1,1,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,3,1,3,2,10,1,11,10,1,1,21,0,1,1,1,0,43,0,0,0,5,16,0,0,0,22,1,0,0,0,0,0,56,0,1,1,7,2,0,0,0,0,0,0,0,0,0,0,43,0,35,0,0,0,0,0,16,6,0,0,0,0,1,3,0,D-9-A
0,14,2,0,0,2,0,0,0,70,0,0,0,0,1,5,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,4,0,1,0,2,0,1,0,0,0,0,0,4,3,3,1,1,1,0,1,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,D-9-H
0,13,2,0,0,2,0,1,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,7,0,10,1,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,D-9-J
0,2,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,D-9-M
0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E-91-QV
0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F-4-B
0,15,0,0,1,11,1,0,1,1,0,0,0,0,49,14,11,11,3,8,0,5,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,11,8,1,0,4,0,2,0,0,0,7,0,1,0,1,3,0,0,0,27,9,1,9,1,4,0,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,2,4,1,0,0,0,3,0,G-1-A
0,14,1,1,0,4,1,0,1,5,0,0,0,0,14,105,43,24,5,14,0,0,5,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,8,0,3,0,3,0,1,0,1,0,4,1,0,2,0,0,0,9,37,3,26,6,3,0,0,23,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,G-1-E
0,11,2,0,0,2,0,0,0,4,0,0,0,0,11,43,75,24,6,14,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2,0,2,0,3,0,0,0,3,1,0,0,0,0,0,7,16,4,23,7,3,0,0,1,3,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,G-1-H
0,13,1,0,0,3,0,0,0,1,0,1,0,0,11,24,24,70,8,17,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,0,11,2,0,0,1,1,0,0,0,0,0,5,12,0,43,5,4,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,30,0,0,0,0,0,0,G-1-K
0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,5,6,8,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,2,3,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,G-1-M
0,5,0,0,1,0,0,0,0,1,0,1,0,0,8,14,14,17,8,32,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,6,0,1,0,0,0,1,1,0,0,0,0,0,5,8,1,15,2,4,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,G-1-T
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G-2-Z
0,43,0,0,1,9,2,0,14,0,0,0,0,0,5,0,0,0,0,0,0,112,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,2,0,2,0,14,16,0,0,9,0,0,0,0,0,10,0,0,0,1,12,0,0,0,18,1,0,1,0,1,0,42,0,1,0,13,0,0,0,0,0,0,1,0,0,0,0,10,0,10,0,0,0,0,0,3,4,0,1,0,0,0,4,0,G-34-A
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G-34-E
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G-34-H
0,39,3,0,0,6,0,0,1,1,2,0,0,0,1,2,0,6,0,1,0,2,0,1,91,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,1,5,0,30,1,1,0,2,0,0,0,0,1,0,0,3,1,34,1,0,0,1,2,12,2,13,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,G-34-K
20,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,10,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G-34-N
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G-34-S
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,64,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G-34-T
2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,33,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G-34-U
4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G-34-V
5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G-34-W
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G-34-Y
1,12,0,0,0,5,0,0,2,0,0,0,0,2,0,1,2,0,0,0,2,3,1,0,1,1,1,1,1,0,0,0,260,0,0,0,0,0,0,1,0,0,0,0,0,18,4,0,0,0,0,0,1,3,3,3,2,1,3,0,0,0,2,0,0,0,1,0,0,2,0,0,0,4,1,0,1,0,0,0,5,1,4,1,23,0,0,2,0,0,0,3,0,0,24,52,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G-34-Z
0,3,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,3,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,H-1-A
0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,H-1-M
