B-5-B,B-6-B,B-26-B,C-5-E,C-6-A,C-6-B,C-6-C,C-9-B,D-9-A,D-9-H,D-9-J,D-9-M,E-91-QV,F-4-B,G-1-A,G-1-E,G-1-H,G-1-K,G-1-M,G-1-T,G-2-Z,G-34-A,G-34-E,G-34-H,G-34-K,G-34-N,G-34-S,G-34-T,G-34-U,G-34-V,G-34-W,G-34-Y,G-34-Z,H-1-A,H-1-M,I-5-B,I-6-B,I-25-B,I-26-B,J-11-A,K-9-O,K-9-OA,K-9-Q,K-9-T,K-9-TA,K-9-Z,K-9-ZE,K-19-A,K-29-A,K-39-A,K-49-A,K-59-A,K-69-A,L-12-T,L-21-A,L-21-C,L-21-E,M-5-B,M-6-B,M-7-B,M-9-B,M-25-B,M-26-B,O-9-B,P-9-A,P-9-D,P-9-E,P-9-J,P-17-A,Q-11-A,Q-11-B,Q-11-K,R-18-B,S-1-A,S-1-E,S-1-H,S-1-K,S-1-L,S-1-M,S-2-K,S-3-A,S-3-E,S-3-H,S-3-M,S-3-T,S-4-D,S-4-E,S-4-H,S-4-K,S-4-M,S-4-P,S-4-T,S-4-W,S-4-X,S-4-Y,S-4-Z,S-5-B,S-8-P,S-15-B,T-9-L,T-9-M,T-9-O,T-9-Q,T-9-QA,T-10-A,T-19-A,TB-9A-K,U-11-A,W-22-B,W-22-BV,Y-5-A,Y-6-A,Y-26-A,self
0,37,0,5,1,15,0,0,1,4,1,0,0,0,9,37,16,12,3,8,0,1,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,18,0,12,0,6,0,2,0,1,0,19,0,0,2,0,0,0,14,262,8,14,4,6,0,0,76,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,S-1-E
0,15,1,0,0,4,0,0,0,3,0,0,0,0,1,3,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,2,8,83,5,1,0,0,0,1,8,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,S-1-H
0,85,7,2,2,18,0,0,0,3,7,0,0,0,9,26,23,43,6,15,0,1,0,0,34,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,15,3,34,0,75,9,1,0,2,3,0,0,0,1,0,11,14,5,365,10,2,1,0,2,3,2,9,0,0,0,6,0,0,0,0,0,0,0,1,0,2,2,1,0,1,0,0,0,84,0,0,0,0,1,0,S-1-K
0,16,0,1,0,2,0,0,0,1,0,0,0,0,1,6,7,5,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,10,1,0,0,0,0,0,0,0,1,0,1,4,1,10,92,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,5,0,0,0,0,0,0,S-1-L
0,37,0,1,1,4,1,0,0,1,0,2,0,0,4,3,3,4,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,7,17,36,0,16,3,0,0,0,0,0,0,0,0,0,14,6,0,2,2,116,0,1,0,1,4,4,0,0,0,0,22,0,1,0,0,0,0,1,0,1,2,24,1,1,0,0,0,0,0,0,0,0,0,0,S-1-M
0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S-2-K
0,158,0,0,4,22,1,0,56,0,0,0,0,0,2,0,0,0,0,0,0,42,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,3,0,7,0,0,0,0,0,0,0,1,1,1,3,1,2,0,12,13,0,0,25,0,1,0,0,0,44,0,1,0,6,24,0,0,0,7,0,0,0,0,1,0,472,0,1,1,4,1,0,0,0,0,0,1,0,0,0,0,50,0,42,0,0,0,0,0,9,4,0,0,0,0,0,9,0,S-3-A
0,80,0,12,0,12,0,0,0,1,0,0,0,0,1,23,1,2,0,1,0,0,17,0,2,0,0,0,0,0,0,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,20,0,1,0,6,0,1,0,20,0,0,1,0,0,0,1,76,1,2,0,0,0,0,535,1,1,2,0,3,1,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,S-3-E
1,136,1,4,0,32,0,0,1,6,0,0,0,0,0,0,3,1,0,0,0,1,0,3,12,0,0,0,0,0,0,0,4,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,44,0,3,0,20,0,0,0,2,0,0,0,0,0,0,0,1,8,3,0,1,1,1,1,568,3,4,0,0,6,0,1,0,0,0,0,1,0,2,0,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,S-3-H
0,27,0,1,0,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,9,0,28,1,0,0,1,0,0,0,0,1,0,0,0,1,2,0,4,0,1,1,3,160,4,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,4,0,0,0,0,0,0,S-3-M
2,134,2,2,3,35,0,1,7,1,1,1,0,0,2,8,5,2,0,6,1,13,1,0,13,10,16,50,1,1,7,1,23,0,0,0,0,1,1,2,1,0,1,10,1,1,0,0,2,0,1,0,2,60,9,9,9,0,21,6,10,0,20,0,3,0,2,0,0,7,0,2,0,8,3,2,9,1,4,0,4,2,4,4,1844,0,0,2,1,2,0,19,1,0,1,0,7,0,9,0,1,1,10,2,3,1,13,0,0,0,0,2,0,S-3-T
0,22,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,167,0,0,0,0,0,0,0,1,0,0,29,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S-4-D
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S-4-E
0,18,0,0,0,2,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,6,0,2,0,0,697,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S-4-H
1,16,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,1,0,0,0,176,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,S-4-K
0,27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,17,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,10,2,0,0,0,0,113,0,1,0,0,0,0,0,0,0,1,14,0,2,0,0,0,0,0,0,0,0,0,0,S-4-M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S-4-P
1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,4,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,19,0,0,2,0,1,0,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,S-4-T
15,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,737,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S-4-W
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S-4-X
2,2,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,11,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,668,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S-4-Y
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S-4-Z
5,155,1,0,8,31,2,0,43,0,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,3,1,0,10,0,13,1,7,0,0,0,0,0,0,0,0,2,1,4,2,4,0,8,15,0,4,23,1,1,1,1,0,34,4,0,0,3,22,0,0,0,18,0,0,1,0,1,0,50,2,2,0,7,29,0,0,1,0,0,0,0,0,1,0,1038,0,97,0,0,0,0,0,10,2,0,5,0,0,2,11,1,S-5-B
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S-8-P
1,293,5,0,24,120,4,0,35,2,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,68,4,10,0,0,0,0,0,0,0,2,0,1,2,1,5,0,7,17,0,1,58,0,1,7,7,1,89,2,0,0,7,37,0,0,0,14,0,0,2,0,1,0,42,0,1,2,9,13,0,0,0,0,0,0,0,0,1,0,97,0,961,0,0,0,0,0,8,5,1,5,0,0,1,38,5,S-15-B
0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,1,0,0,0,0,0,0,T-9-L
0,16,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,31,0,17,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,24,0,0,0,0,4,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,49,1,0,0,0,0,1,0,0,0,0,0,0,T-9-M
0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,T-9-O
0,11,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,63,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,40,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,92,17,0,0,2,0,0,0,0,0,0,T-9-Q
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,0,0,0,0,0,0,0,0,0,T-9-QA
0,16,0,0,1,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,7,0,0,0,0,0,8,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,34,0,0,0,0,0,0,4,0,T-10-A
0,11,0,0,1,5,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,4,5,1,0,3,0,0,0,0,0,2,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,24,0,0,0,0,0,1,0,T-19-A
0,84,6,1,1,28,0,0,0,1,11,0,0,0,4,9,9,30,3,8,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,19,12,41,0,47,12,1,0,2,3,0,0,0,2,1,7,5,0,84,5,0,0,0,2,4,4,13,0,0,0,5,0,0,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,175,0,0,0,0,0,0,TB-9A-K
0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,1,0,0,0,0,0,4,0,1,0,1,39,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,68,0,0,1,1,0,U-11-A
0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,W-22-B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,W-22-BV
0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,5,1,0,Y-5-A
0,57,1,0,11,38,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,0,3,5,0,1,49,0,1,2,4,1,21,0,0,0,2,8,0,0,0,13,0,0,1,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,38,0,0,0,0,0,4,1,0,1,0,0,1,89,3,Y-6-A
0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,7,Y-26-A